id,talent_name,talent_description
1,"Aim","[Cost: 10 Stamina] Deal double damage on your next attack, if it’s with a ranged weapon."
2,"Aim","[Cost: 10 Stamina] Deal double damage on your next attack, if it’s with a ranged weapon."
3,"Backstab","[Cost: 5 Stamina] Following a successful Stealth check, use a knife to perform a powerful surprise attack, dealing an additional +2D10 damage to one enemy. Can only be used when not engaged in combat."
4,"Backstab","[Cost: 5 Stamina] Following a successful Stealth check, use a knife to perform a powerful surprise attack, dealing an additional +2D10 damage to one enemy. Can only be used when not engaged in combat."
5,"Bash","[Cost: 10 Stamina] After a successful attack, your base damage with two-handed weapons is 2D10 instead of 1D10."
6,"Bash","[Cost: 10 Stamina] After a successful attack, your base damage with two-handed weapons is 2D10 instead of 1D10."
7,"Bounce Throw","You can re-roll one scatter roll when you fail to throw a grenade (or similar item)."
8,"Bounce Throw","You can re-roll one scatter roll when you fail to throw a grenade (or similar item)."
9,"Bionic Control","You can make each Oxygen Pellet last 2 Time Track resets."
10,"Bionic Control","You can make each Oxygen Pellet last 2 Time Track resets."
11,"Calm","Each time you gain Stress you gain 1 less (minimum 1)."
12,"Calm","Each time you gain Stress you gain 1 less (minimum 1)."
13,"Careless","When activated, you gain +5 to your attacks this round but you cannot spend Stamina on defensive moves."
14,"Careless","When activated, you gain +5 to your attacks this round but you cannot spend Stamina on defensive moves."
15,"Charge","You can charge into melee, gaining +5 Skill and +5 damage during your first round. Cannot be used with any form of stealth."
16,"Charge","You can charge into melee, gaining +5 Skill and +5 damage during your first round. Cannot be used with any form of stealth."
17,"Cleave","[Cost: 8 Stamina] When wielding a two-handed melee weapon, all enemies adjacent to your target also take half of the rolled damage."
18,"Cleave","[Cost: 8 Stamina] When wielding a two-handed melee weapon, all enemies adjacent to your target also take half of the rolled damage."
19,"Compartmentalized Mind","When you gain a Negative Trait, roll twice and choose the result you prefer."
20,"Compartmentalized Mind","When you gain a Negative Trait, roll twice and choose the result you prefer."
21,"Counter-Attack","[Cost: 5 Stamina] While wielding a melee weapon, you can perform an instant return attack during an opponent’s turn after your attack roll succeeds."
22,"Counter-Attack","[Cost: 5 Stamina] While wielding a melee weapon, you can perform an instant return attack during an opponent’s turn after your attack roll succeeds."
23,"Coupe de Grace","Gain +1D8 damage against knocked-down enemies."
24,"Coupe de Grace","Gain +1D8 damage against knocked-down enemies."
25,"Deceived","You may attempt to heal 1 Stress when advancing the Time Track (once per advance)."
26,"Deceived","You may attempt to heal 1 Stress when advancing the Time Track (once per advance)."
27,"Detect Lies","Perform an INT check to determine if someone is lying or trying to manipulate you."
28,"Detect Lies","Perform an INT check to determine if someone is lying or trying to manipulate you."
29,"Dual Wielding","When you miss your attack, you may use an off-hand weapon to attack again with disadvantage."
30,"Dual Wielding","When you miss your attack, you may use an off-hand weapon to attack again with disadvantage."
31,"Duck!","[Cost: 3 Stamina] Shout a warning to an ally, granting them +2 Stamina on their next turn which can only be spent on defensive maneuvers."
32,"Duck!","[Cost: 3 Stamina] Shout a warning to an ally, granting them +2 Stamina on their next turn which can only be spent on defensive maneuvers."
33,"Everyone, Calm Down!","If you’re the Team Leader, you may roll Manipulation to end an argument, infighting or confidence crisis. On success, all crew members reduce Stress by 2. Once per Time Track reset."
34,"Everyone, Calm Down!","If you’re the Team Leader, you may roll Manipulation to end an argument, infighting or confidence crisis. On success, all crew members reduce Stress by 2. Once per Time Track reset."
35,"Fast Feet","Automatically pass all Escape checks."
36,"Fast Feet","Automatically pass all Escape checks."
37,"Fearless","Once per Site you may ignore the effects of Dread."
38,"Fearless","Once per Site you may ignore the effects of Dread."
39,"Field Medic","You have Advantage on all Medical Aid checks."
40,"Field Medic","You have Advantage on all Medical Aid checks."
41,"Frugal","You can make each ration last 2 weeks instead of 1."
42,"Frugal","You can make each ration last 2 weeks instead of 1."
43,"Good Negotiator","You take home 60% of your earnings instead of the standard 50%."
